id,value,quantity
8270,454.18,8
1860,704.36,85
6390,239.06,35
6191,492.29,44
6734,639.33,18
7265,594.04,47
1466,653.01,25
5426,803.24,41
6578,754.84,5
9322,326.67,64
2685,258.39,62
1769,549.03,72
7949,296.88,87
3433,211.03,3
6311,547.44,37
6051,585.06,95
7420,756.67,93
2184,615.26,41
5555,787.93,20
4385,553.33,67
7396,329.56,87
9666,623.33,40
3558,700.15,85
8849,558.66,77
3047,717.58,8
3747,481.51,5
1189,581.88,25
3734,473.85,39
4005,856.86,37
5658,626.19,5
2899,332.49,8
8734,777.89,4
2267,390.02,41
2528,502.05,60
4556,570.25,54
4890,582.5,22
9838,572.56,78
6393,330.04,19
9792,573.06,77
9433,665.1,99
8513,660.78,68
3612,304.73,33
8041,401.65,22
7235,343.32,65
6486,550.97,11
8099,267.25,16
1775,331.59,68
9226,400.23,93
4152,230.48,44
2585,495.83,88
4943,184.03,9
8555,572.8,72
4073,440.45,78
2021,406.4,79
4843,430.89,62
8989,490.94,86
7873,588.93,15
6675,697.56,6
1161,652.09,1
5297,834.75,20
1995,601.29,36
8629,521.05,2
2016,431.45,70
8869,436.43,2
7439,580.86,3
8892,350.08,7
7863,534.35,84
8916,497.17,64
9529,390.79,41
1878,342.32,54
5887,878.71,41
5859,290.51,5
7331,489.84,89
9571,683.39,82
9684,579.36,63
8208,428.97,1
6276,321.18,25
3062,519.47,81
1064,104.07,46
9006,525.48,15
3568,505.22,69
6463,660.52,17
3027,328.5,21
3695,451.48,53
6258,565.54,55
6618,530.84,87
7736,298.6,10
1391,402.87,81
6892,709.99,57
4561,538.9,65
7184,250.38,37
4099,632.48,7
7278,260.11,76
9392,453.95,40
4104,584.49,50
8215,682.06,1
3454,149.31,20
9996,606.74,31
3731,629.26,68
9154,416.45,90
6056,513.64,12
9110,42.2,22
4840,87.8,1
2028,666.28,1
8385,419.17,3
1502,448.07,76
7910,535.2,21
7938,445.11,13
5488,431.2,61
1206,559.17,13
6134,275.67,82
6977,673.99,33
8721,465.46,6
8035,349.15,25
2484,328.97,23
8858,506.4,88
1863,454.05,26
3790,267.67,4
8408,409.72,35
9755,378.62,75
6116,689.28,100
7019,519.57,25
2757,735.4,20
8574,393.5,1
7374,456.33,94
7892,557.98,68
2678,590.62,23
4242,608.15,99
5636,366.83,22
2059,371.05,95
7668,446.69,62
4157,722.14,1
6915,349.9,59
3693,420.96,68
4627,609.48,19
6450,601.45,30
2663,583.31,1
6592,512.13,48
8392,340.23,19
2306,396.38,52
7776,668.97,85
6864,616.05,22
8526,299.75,50
9901,630.42,66
6575,696.32,6
6530,508.07,64
5413,563.94,21
4748,651.72,97
1663,395.64,19
2998,849.44,91
8994,683.46,37
2495,578.6,63
4304,494.82,29
4763,574.22,60
6232,265.96,92
2853,812.31,34
7585,669.33,1
2291,719.6,48
4581,504.61,89
8554,445.96,21
8280,398.85,34
2636,622.04,26
4696,423.12,36
1698,471.9,99
5737,581.96,23
1854,401.1,81
9164,656.59,47
6855,497.34,76
8392,273.78,44
7528,399.5,20
6249,696.23,27
6172,359.45,61
2707,634.11,37
6791,518.25,84
6535,474.24,52
5931,876.89,75
4510,307.37,92
1202,388.98,62
5218,496.49,66
9958,862.36,24
5389,496.83,80
3327,541.14,12
9004,449.62,16
3931,553.79,36
8777,458.93,2
1197,604.3,89
8125,616.13,62
2930,464.88,64
7287,331.18,29
9800,514.04,92
5282,710.32,74
3511,376.0,87
1659,550.09,96
3811,319.14,31
8098,344.03,83
7546,695.05,15
2986,603.73,55
9338,552.34,33
3911,151.73,81
2734,417.07,52
2843,591.02,100
9680,282.64,20
3976,446.92,73
2959,615.0,38
6759,273.33,3
7694,248.11,54
3385,275.93,66
5736,550.17,18
2802,416.45,87
9155,631.71,83
9120,518.15,7
7616,782.08,35
6534,314.38,84
5061,549.77,84
1262,380.72,83
7287,590.03,80
9815,517.99,85
3049,351.03,93
6423,476.43,60
5548,510.96,24
4108,410.1,93
8158,609.08,95
8400,345.34,39
4170,813.65,12
3255,643.05,94
2154,552.31,53
5499,926.8,64
7295,453.61,4
7197,591.71,94
2648,533.4,5
6539,619.62,16
5199,724.42,27
9445,582.34,4
3557,656.27,72
6592,417.44,48
1098,469.08,8
3200,745.74,81
3961,589.53,46
5973,537.25,44
5433,387.01,67
3869,644.99,91
1956,382.78,52
9352,338.58,34
6699,517.24,62
7944,139.63,21
5493,591.66,24
5911,556.54,44
4987,447.08,41
7015,460.68,29
2218,482.1,6
5496,381.63,56
5735,527.69,14
5555,462.59,50
9050,516.87,78
4446,476.64,52
2045,447.12,88
7893,541.77,77
2693,617.16,1
4436,421.28,12
9754,559.32,24
6895,577.91,37
4354,307.42,84
1225,646.48,70
5893,808.47,76
8022,486.79,85
6600,474.32,3
8996,468.05,27
8683,593.09,53
5642,576.62,100
8679,261.4,17
9208,370.08,15
8339,576.1,39
3205,478.25,4
2069,325.08,17
4444,725.04,11
2060,380.04,12
3327,505.37,32
4420,474.27,27
1301,338.2,44
1606,527.74,43
4170,558.82,91
1699,429.85,49
6088,449.57,93
1190,590.07,73
1980,203.73,43
3975,373.25,3
7102,532.02,29
2184,420.99,85
4327,418.85,35
4394,635.25,48
9319,405.0,74
2816,796.88,87
6854,236.82,39
7709,168.2,89
1569,631.84,24
6442,352.41,20
2895,354.94,15
3733,647.71,85
4863,425.41,76
8455,636.55,18
5014,408.44,60
2686,554.38,87
4009,423.29,93
8806,362.03,41
1154,759.59,100
2409,667.47,69
1784,391.0,90
9096,473.24,75
8560,721.43,11
8343,351.77,56
8206,359.88,18
6596,570.51,12
6801,840.57,16
3806,508.07,27
1537,657.47,100
6986,347.38,17
2841,554.16,85
9716,446.06,31
7971,779.99,35
6625,739.8,27
3950,841.91,87
8992,395.68,32
5780,505.32,17
3368,556.28,11
7655,401.53,1
9173,519.66,92
5495,636.35,82
7002,417.45,49
7614,394.5,41
6919,384.55,20
1853,298.44,71
5146,628.1,37
4769,394.15,16
1574,378.33,39
2148,579.36,45
7293,498.41,64
7457,421.17,47
8509,621.59,23
5777,415.18,32
4854,173.46,49
3491,699.99,81
4124,375.77,19
6691,392.16,98
4051,392.82,78
1004,508.94,67
6222,458.86,39
6315,648.21,89
5869,746.77,60
1876,398.12,11
8027,359.3,49
5142,421.71,15
7966,565.86,83
8079,482.55,61
8987,424.94,43
7799,305.45,15
5465,168.67,79
1635,349.29,79
2693,689.66,73
5752,565.4,5
9311,471.27,83
1830,609.47,88
6177,306.82,29
9932,508.51,62
9308,232.05,60
6949,551.9,69
3838,538.93,22
2150,542.5,13
8560,675.14,50
2931,616.4,47
2664,318.66,29
2081,677.41,80
1512,468.58,100
8805,204.48,17
6237,483.69,20
1559,597.07,78
4672,347.92,6
8404,699.93,22
4343,361.5,9
5070,427.84,32
1580,400.29,88
8004,243.65,33
9130,351.03,77
4147,393.22,99
5249,480.48,70
2679,49.78,49
4506,607.48,30
8253,606.0,16
3744,677.22,65
6188,276.25,82
3141,456.08,86
7617,641.22,90
3479,654.12,14
7484,721.84,56
8421,515.41,37
5452,491.6,49
6881,266.31,78
7665,659.73,90
3849,430.95,50
8390,505.09,36
7905,495.08,52
3489,140.8,23
5611,378.28,66
3839,568.08,71
9527,492.71,45
6878,569.27,86
7303,617.58,28
1851,376.51,20
2687,422.73,49
7833,478.82,57
3427,616.02,82
5000,464.89,88
6052,232.84,97
3738,470.27,59
6732,609.99,26
6387,703.55,19
9002,542.09,13
6536,277.1,74
4913,439.04,62
2066,571.26,14
8723,629.93,73
5380,576.06,11
5107,462.26,67
6726,628.78,12
4373,403.92,35
9945,527.7,39
3082,612.47,32
9967,586.5,14
7748,589.86,65
1417,586.09,27
9306,342.7,60
9808,502.63,43
4974,363.61,65
4267,456.58,55
1825,324.67,93
8668,551.75,88
6745,205.23,81
1412,592.59,35
8543,502.3,95
8587,785.32,32
1728,469.31,19
8164,469.27,95
9867,602.38,39
6988,478.03,20
3504,541.22,28
3967,649.16,3
3786,459.87,32
2122,679.29,86
5079,248.13,58
2571,740.52,54
6073,231.78,42
6104,702.83,15
3143,220.03,83
7806,797.09,62
8357,524.13,31
4440,358.27,61
4766,779.77,26
6644,336.67,69
3914,465.9,57
5968,890.71,20
6917,559.33,66
9787,196.1,21
1728,459.01,60
2365,445.74,63
5492,528.28,51
1698,493.33,100
8186,581.88,92
1395,270.79,84
8400,417.81,39
9082,546.78,100
5171,385.68,11
5360,664.39,57
3502,388.68,3
1717,521.5,37
3782,484.26,84
5946,347.8,96
6486,509.07,25
9335,303.21,21
5980,433.46,80
8266,504.54,42
5491,285.9,1
8192,593.53,23
6588,539.06,24
8651,579.8,47
4636,500.37,89
2167,327.4,7
2062,499.99,38
3156,593.46,47
8860,321.45,35
6161,333.38,78
6305,463.09,62
7541,444.3,73
5729,497.58,3
8330,456.25,20
6334,524.0,97
9924,683.27,44
5330,580.76,32
9010,508.42,100
7801,333.99,26
5846,391.7,48
7731,626.26,5
8241,429.73,59
1953,354.84,61
3539,814.7,49
8056,728.67,30
2542,481.33,17
6293,337.6,70
2191,608.5,58
7313,426.49,63
7938,633.28,61
3681,426.64,63
2540,746.81,15
7172,422.19,1
6541,854.71,13
2365,529.26,48
9691,707.65,34
9702,418.98,30
8494,303.3,19
5312,154.07,64
2324,691.49,66
4141,510.2,57
8419,312.86,44
4486,697.73,12
2810,673.4,40
7588,707.36,24
3923,299.03,11
6301,686.96,66
5186,557.61,1
9905,714.14,58
6977,581.41,28
5268,525.95,68
5748,689.0,94
5849,627.78,59
4709,662.26,71
7619,426.79,22
9647,474.14,90
4072,239.93,29
7530,415.98,89
1504,618.56,74
2214,584.63,84
2531,353.07,78
8576,692.35,97
1823,945.96,69
1928,364.59,45
6029,469.12,70
1133,406.76,86
3105,485.77,17
4627,541.09,79
7316,395.4,39
2852,458.46,40
5910,513.09,28
5175,570.74,2
6348,719.97,82
7190,497.83,27
2256,415.72,21
4376,604.45,87
6645,560.03,7
4486,471.08,61
4584,572.75,52
9053,442.53,48
4330,420.44,19
3703,215.1,73
9662,450.81,12
9120,235.62,94
8114,404.09,71
2353,586.92,2
6063,274.22,17
9549,471.52,75
8575,509.82,76
1667,464.21,3
5468,427.8,21
7819,548.81,78
4719,569.61,79
3745,500.23,51
8483,436.14,10
1539,629.71,55
5964,303.39,36
5835,603.11,51
4775,562.95,74
7042,529.85,17
8102,498.52,89
8312,216.5,61
6320,708.1,91
7132,625.8,97
8891,355.79,75
3779,613.82,13
1924,528.33,65
2581,412.55,95
8714,678.77,97
4324,435.37,85
6713,703.42,80
8026,580.14,87
1255,643.48,74
5804,586.86,48
2838,579.91,97
1009,532.28,86
3871,390.98,70
9989,509.38,47
8409,637.46,100
8418,607.89,10
6124,575.19,57
2015,185.64,80
3193,468.02,13
9415,452.26,61
8449,334.51,58
5158,635.56,84
4925,196.2,68
7970,625.5,84
7938,699.39,86
5784,468.52,29
5000,488.85,16
2633,645.13,63
8266,385.45,47
9702,599.12,43
1384,362.33,23
1404,317.38,30
9175,544.4,57
3000,496.0,30
6989,241.85,67
2460,712.3,56
8190,437.79,24
8140,576.6,77
4636,740.78,96
5809,537.14,76
5178,690.99,8
8245,370.54,88
7600,713.15,44
6997,376.12,80
3048,414.33,96
5780,281.8,34
1716,540.26,35
8939,594.64,96
6565,615.02,50
5544,285.26,17
5976,556.25,2
4419,561.8,90
8239,592.22,54
1249,384.09,44
9865,124.2,81
1770,605.97,49
5363,478.13,2
2077,542.04,72
9427,485.81,70
9580,535.18,9
8901,610.57,1
5858,221.45,69
7544,671.15,9
5719,472.68,14
3814,744.06,27
4374,431.08,9
2252,397.76,36
7996,477.75,93
5673,575.0,84
5530,458.85,79
7881,585.88,100
7949,441.93,3
7241,505.23,23
9017,835.48,73
7941,553.59,30
8002,565.62,19
2331,279.11,67
5261,703.14,50
8648,659.97,48
6115,392.83,3
5637,657.01,98
5854,549.47,66
4177,506.96,27
8730,693.64,87
3180,423.16,96
5892,391.65,99
8043,531.13,40
1137,579.23,18
7327,644.95,27
4472,477.36,11
6449,372.53,39
3832,879.29,19
4579,337.01,89
6971,508.27,7
5164,616.96,95
8941,672.67,57
6569,414.93,2
5300,218.76,38
7269,411.46,5
4818,629.2,78
2906,595.62,82
7254,600.52,36
1760,606.75,68
8830,701.01,88
8350,383.62,77
7238,320.32,85
7090,555.57,57
7031,342.72,97
8687,310.86,20
9472,683.59,5
2887,537.55,24
4266,504.27,99
1666,507.39,30
5188,484.08,28
1671,682.59,53
7777,272.81,51
8570,266.6,7
8956,359.54,42
6124,543.37,35
6585,770.8,94
5777,630.36,34
4900,588.87,73
7677,488.02,76
7981,300.12,54
7376,577.25,29
1523,803.9,10
3393,463.99,27
3593,415.9,83
8240,464.71,13
7937,589.96,42
7190,516.76,37
6240,636.5,61
7493,494.98,96
3878,463.85,79
5143,534.35,21
4644,419.05,3
5432,761.11,8
2276,623.47,70
6811,335.05,93
1302,388.14,83
1638,584.8,17
1055,527.5,10
9717,545.38,97
9150,471.18,13
3125,568.28,91
1364,474.71,12
7809,584.51,66
5621,615.95,74
6126,741.01,85
6122,422.8,23
2646,498.33,65
1918,317.15,97
3797,773.94,52
7506,203.68,61
6870,752.43,26
2531,514.02,15
9172,562.76,22
4345,475.15,89
8673,504.67,65
7949,588.21,26
7882,254.5,21
2906,402.18,24
4086,373.24,16
9152,567.11,32
6750,500.65,16
9905,592.71,77
2062,524.72,42
2976,658.79,32
2296,388.96,50
7229,508.72,41
8641,666.4,24
1125,636.4,13
5632,278.05,75
7288,346.83,79
4596,487.73,10
7168,464.77,42
8561,490.19,41
9258,619.43,3
1232,543.41,55
7371,552.15,16
5206,600.59,44
8943,661.13,81
7891,41.6,89
7738,442.01,30
3472,367.55,99
3739,571.3,37
6401,430.68,60
2761,511.38,77
1876,627.82,24
4812,409.55,26
2460,554.42,58
2733,733.07,9
2605,624.74,61
6622,262.13,19
7767,456.24,28
7986,553.37,7
4517,582.92,45
4735,462.15,86
9434,404.03,94
3590,510.16,63
2063,336.97,37
5324,664.96,16
6342,780.3,100
1005,559.2,5
8489,465.13,29
9659,641.14,52
9195,615.79,23
6966,458.67,6
9837,492.82,36
1117,408.57,57
3551,524.7,33
6560,544.84,49
5289,382.98,41
1846,338.8,80
7316,301.1,55
7469,562.48,98
9915,498.28,26
1224,487.46,37
5208,569.68,77
7283,364.86,17
3048,339.46,96
