id,value,quantity
8270,454.18,8.0
1860,704.36,85.0
6390,239.06,35.0
6191,492.29,44.0
NOT_A_NUMBER,639.33,18.0
7265,594.04,47.0
1466,653.01,25.0
5426,803.24,41.0
6578,754.84,5.0
9322,326.67,64.0
2685,258.39,
1769,549.03,72.0
7949,296.88,87.0
3433,211.03,3.0
6311,547.44,37.0
6051,585.06,95.0
NOT_A_NUMBER,756.67,93.0
2184,615.26,41.0
5555,787.93,20.0
4385,553.33,
7396,329.56,87.0
9666,623.33,40.0
3558,700.15,85.0
8849,558.66,77.0
3047,717.58,8.0
3747,,5.0
1189,581.88,25.0
3734,473.85,39.0
4005,856.86,37.0
5658,626.19,5.0
2899,332.49,
8734,777.89,4.0
2267,390.02,41.0
2528,502.05,60.0
4556,570.25,54.0
NOT_A_NUMBER,582.5,22.0
9838,572.56,78.0
6393,330.04,19.0
9792,573.06,77.0
9433,665.1,99.0
8513,660.78,68.0
3612,304.73,33.0
8041,401.65,22.0
7235,343.32,65.0
6486,550.97,11.0
8099,267.25,16.0
1775,331.59,68.0
9226,400.23,93.0
4152,230.48,44.0
2585,495.83,88.0
4943,184.03,
8555,572.8,72.0
4073,440.45,78.0
2021,406.4,79.0
4843,,62.0
8989,490.94,
7873,588.93,15.0
NOT_A_NUMBER,697.56,6.0
1161,652.09,1.0
5297,834.75,20.0
1995,601.29,36.0
8629,521.05,2.0
2016,431.45,70.0
8869,436.43,2.0
7439,580.86,3.0
8892,350.08,7.0
7863,534.35,84.0
8916,497.17,64.0
9529,390.79,41.0
1878,342.32,54.0
5887,878.71,41.0
5859,290.51,
7331,489.84,89.0
9571,683.39,
9684,579.36,63.0
8208,428.97,1.0
6276,321.18,25.0
3062,519.47,81.0
1064,104.07,46.0
9006,525.48,15.0
3568,505.22,69.0
6463,660.52,17.0
3027,328.5,21.0
3695,451.48,53.0
6258,565.54,55.0
6618,530.84,87.0
7736,298.6,10.0
1391,402.87,81.0
6892,709.99,
4561,538.9,65.0
7184,250.38,37.0
4099,632.48,7.0
7278,260.11,
9392,453.95,40.0
4104,584.49,50.0
8215,682.06,1.0
3454,149.31,20.0
9996,606.74,31.0
3731,629.26,68.0
9154,416.45,90.0
6056,513.64,12.0
9110,42.2,22.0
4840,87.8,1.0
2028,666.28,1.0
8385,419.17,3.0
1502,448.07,76.0
7910,535.2,21.0
7938,445.11,13.0
5488,431.2,61.0
1206,559.17,13.0
6134,275.67,82.0
6977,673.99,33.0
8721,465.46,6.0
8035,349.15,25.0
2484,328.97,23.0
8858,506.4,88.0
1863,454.05,
3790,267.67,4.0
8408,409.72,35.0
9755,,75.0
6116,689.28,100.0
7019,519.57,25.0
NOT_A_NUMBER,735.4,20.0
8574,393.5,1.0
NOT_A_NUMBER,456.33,94.0
7892,557.98,68.0
2678,590.62,23.0
4242,608.15,
5636,366.83,
2059,371.05,95.0
7668,446.69,62.0
4157,722.14,1.0
6915,349.9,59.0
3693,420.96,68.0
4627,609.48,19.0
6450,601.45,
2663,583.31,1.0
6592,512.13,48.0
8392,340.23,19.0
2306,396.38,52.0
7776,668.97,85.0
6864,616.05,22.0
8526,299.75,50.0
9901,630.42,66.0
6575,696.32,6.0
6530,,64.0
5413,563.94,21.0
NOT_A_NUMBER,651.72,97.0
1663,,19.0
2998,849.44,91.0
8994,683.46,37.0
2495,578.6,63.0
4304,494.82,29.0
4763,574.22,60.0
6232,265.96,92.0
2853,812.31,34.0
7585,669.33,1.0
NOT_A_NUMBER,719.6,48.0
4581,504.61,89.0
8554,445.96,21.0
8280,398.85,34.0
2636,622.04,26.0
NOT_A_NUMBER,423.12,36.0
1698,471.9,99.0
5737,581.96,23.0
1854,401.1,81.0
9164,656.59,47.0
6855,497.34,76.0
8392,273.78,44.0
7528,399.5,20.0
6249,696.23,27.0
6172,359.45,61.0
2707,634.11,37.0
6791,518.25,84.0
6535,474.24,
5931,,75.0
4510,307.37,
1202,388.98,62.0
5218,496.49,66.0
9958,862.36,24.0
5389,,80.0
3327,541.14,12.0
9004,449.62,16.0
3931,553.79,36.0
8777,458.93,2.0
1197,604.3,89.0
8125,616.13,62.0
2930,464.88,64.0
7287,331.18,29.0
9800,514.04,92.0
5282,710.32,74.0
3511,376.0,87.0
1659,550.09,96.0
3811,319.14,31.0
8098,344.03,83.0
7546,695.05,15.0
2986,603.73,55.0
9338,,33.0
3911,151.73,81.0
NOT_A_NUMBER,417.07,52.0
2843,591.02,100.0
9680,282.64,20.0
3976,446.92,73.0
2959,615.0,38.0
6759,273.33,3.0
7694,248.11,54.0
3385,275.93,66.0
5736,550.17,18.0
NOT_A_NUMBER,416.45,87.0
9155,631.71,83.0
9120,518.15,7.0
7616,782.08,35.0
6534,,84.0
5061,549.77,84.0
1262,380.72,83.0
7287,590.03,80.0
9815,517.99,85.0
3049,351.03,93.0
6423,476.43,60.0
5548,510.96,24.0
4108,410.1,93.0
8158,609.08,95.0
8400,345.34,39.0
4170,813.65,12.0
3255,643.05,94.0
2154,552.31,53.0
5499,926.8,64.0
7295,453.61,4.0
7197,591.71,94.0
2648,533.4,5.0
6539,619.62,16.0
5199,724.42,27.0
9445,582.34,4.0
3557,656.27,72.0
6592,417.44,48.0
1098,469.08,8.0
3200,745.74,81.0
3961,589.53,46.0
5973,537.25,
5433,387.01,67.0
3869,644.99,91.0
1956,382.78,
9352,338.58,34.0
6699,517.24,62.0
7944,139.63,21.0
5493,591.66,24.0
5911,556.54,44.0
4987,447.08,41.0
7015,460.68,29.0
2218,482.1,6.0
5496,381.63,56.0
5735,527.69,14.0
5555,462.59,50.0
9050,,78.0
4446,476.64,52.0
2045,447.12,88.0
7893,541.77,77.0
2693,617.16,1.0
4436,421.28,12.0
9754,559.32,24.0
6895,577.91,37.0
4354,,84.0
1225,646.48,70.0
5893,808.47,76.0
8022,486.79,85.0
6600,474.32,3.0
8996,468.05,27.0
8683,593.09,53.0
5642,576.62,100.0
8679,261.4,17.0
9208,370.08,15.0
8339,576.1,39.0
3205,478.25,4.0
2069,325.08,17.0
4444,725.04,
2060,380.04,12.0
3327,505.37,32.0
4420,,27.0
1301,338.2,44.0
1606,527.74,43.0
4170,558.82,91.0
1699,429.85,49.0
6088,449.57,93.0
1190,590.07,73.0
1980,203.73,43.0
3975,373.25,3.0
7102,532.02,29.0
2184,420.99,85.0
NOT_A_NUMBER,418.85,35.0
4394,635.25,48.0
9319,405.0,74.0
2816,796.88,87.0
6854,236.82,39.0
7709,168.2,89.0
1569,631.84,24.0
6442,352.41,20.0
2895,,15.0
3733,647.71,85.0
4863,,76.0
8455,636.55,18.0
NOT_A_NUMBER,408.44,60.0
2686,554.38,87.0
4009,423.29,93.0
8806,362.03,41.0
1154,759.59,100.0
2409,,69.0
1784,391.0,90.0
9096,473.24,75.0
8560,721.43,11.0
8343,351.77,56.0
8206,359.88,18.0
6596,,12.0
6801,840.57,16.0
3806,508.07,27.0
1537,657.47,100.0
6986,347.38,17.0
2841,554.16,85.0
9716,446.06,31.0
7971,779.99,35.0
6625,739.8,27.0
3950,841.91,87.0
8992,395.68,32.0
5780,505.32,17.0
3368,556.28,11.0
7655,401.53,1.0
9173,519.66,92.0
5495,636.35,82.0
7002,417.45,49.0
7614,394.5,41.0
6919,384.55,20.0
1853,298.44,71.0
5146,628.1,37.0
4769,394.15,16.0
1574,378.33,39.0
2148,579.36,45.0
NOT_A_NUMBER,498.41,64.0
7457,421.17,47.0
8509,621.59,23.0
5777,415.18,32.0
4854,173.46,49.0
3491,699.99,
4124,375.77,19.0
6691,392.16,98.0
4051,392.82,78.0
1004,508.94,67.0
NOT_A_NUMBER,458.86,39.0
6315,648.21,89.0
5869,746.77,60.0
1876,398.12,11.0
8027,359.3,49.0
5142,421.71,15.0
7966,565.86,83.0
8079,482.55,61.0
8987,424.94,43.0
7799,305.45,15.0
5465,168.67,79.0
1635,349.29,79.0
2693,689.66,73.0
5752,565.4,5.0
9311,471.27,83.0
1830,609.47,88.0
6177,306.82,29.0
9932,508.51,62.0
9308,232.05,60.0
6949,551.9,69.0
3838,538.93,22.0
2150,542.5,13.0
NOT_A_NUMBER,675.14,50.0
2931,616.4,47.0
2664,318.66,29.0
2081,677.41,80.0
1512,468.58,100.0
8805,204.48,17.0
6237,483.69,20.0
NOT_A_NUMBER,,78.0
4672,347.92,6.0
8404,699.93,22.0
4343,361.5,9.0
5070,427.84,32.0
1580,400.29,88.0
8004,243.65,33.0
9130,351.03,77.0
NOT_A_NUMBER,393.22,99.0
5249,480.48,70.0
2679,49.78,49.0
4506,607.48,30.0
8253,606.0,16.0
3744,677.22,65.0
6188,,
3141,456.08,86.0
7617,641.22,90.0
3479,654.12,14.0
7484,721.84,56.0
8421,515.41,37.0
5452,491.6,49.0
6881,266.31,78.0
7665,659.73,90.0
3849,430.95,50.0
8390,505.09,36.0
7905,495.08,52.0
3489,140.8,23.0
5611,378.28,66.0
3839,568.08,71.0
9527,492.71,45.0
6878,569.27,86.0
7303,617.58,28.0
1851,376.51,20.0
2687,422.73,49.0
7833,478.82,57.0
3427,616.02,82.0
5000,464.89,88.0
6052,232.84,97.0
3738,470.27,59.0
6732,609.99,26.0
6387,703.55,
9002,542.09,13.0
6536,277.1,74.0
4913,439.04,62.0
2066,571.26,14.0
8723,629.93,73.0
5380,576.06,11.0
5107,462.26,67.0
6726,628.78,12.0
4373,403.92,35.0
9945,527.7,39.0
3082,612.47,32.0
9967,586.5,14.0
7748,589.86,65.0
1417,586.09,27.0
9306,342.7,60.0
9808,502.63,43.0
4974,363.61,65.0
NOT_A_NUMBER,456.58,55.0
1825,324.67,93.0
8668,551.75,88.0
NOT_A_NUMBER,205.23,81.0
1412,592.59,35.0
8543,502.3,95.0
8587,785.32,32.0
1728,469.31,19.0
8164,469.27,95.0
9867,602.38,39.0
6988,478.03,20.0
3504,541.22,28.0
NOT_A_NUMBER,649.16,3.0
3786,459.87,32.0
2122,679.29,86.0
5079,248.13,58.0
2571,740.52,54.0
6073,231.78,42.0
6104,702.83,15.0
3143,220.03,
7806,797.09,62.0
8357,524.13,31.0
4440,358.27,61.0
4766,779.77,26.0
6644,336.67,69.0
3914,465.9,57.0
5968,890.71,20.0
6917,559.33,66.0
9787,196.1,21.0
1728,459.01,60.0
2365,445.74,63.0
5492,,51.0
1698,493.33,100.0
NOT_A_NUMBER,581.88,92.0
1395,270.79,84.0
8400,417.81,39.0
9082,546.78,100.0
5171,385.68,11.0
5360,664.39,57.0
3502,388.68,3.0
1717,521.5,37.0
3782,484.26,84.0
5946,347.8,96.0
6486,509.07,25.0
NOT_A_NUMBER,,21.0
5980,433.46,
8266,504.54,42.0
5491,285.9,1.0
8192,593.53,23.0
6588,539.06,24.0
8651,579.8,47.0
4636,500.37,89.0
2167,327.4,7.0
2062,499.99,38.0
3156,593.46,47.0
8860,321.45,35.0
6161,333.38,78.0
6305,,62.0
7541,444.3,73.0
5729,497.58,3.0
8330,456.25,20.0
6334,524.0,97.0
9924,683.27,
5330,580.76,32.0
9010,508.42,
7801,333.99,26.0
5846,391.7,
7731,626.26,5.0
8241,429.73,59.0
1953,354.84,
3539,814.7,49.0
8056,728.67,30.0
2542,481.33,17.0
6293,337.6,70.0
2191,608.5,58.0
7313,426.49,63.0
NOT_A_NUMBER,633.28,61.0
3681,426.64,63.0
2540,746.81,15.0
7172,422.19,1.0
6541,854.71,13.0
2365,529.26,48.0
9691,707.65,34.0
9702,418.98,30.0
8494,303.3,19.0
5312,154.07,64.0
2324,691.49,66.0
4141,510.2,57.0
8419,312.86,44.0
4486,697.73,12.0
2810,673.4,40.0
7588,707.36,24.0
3923,299.03,11.0
6301,686.96,66.0
NOT_A_NUMBER,,1.0
9905,714.14,58.0
6977,581.41,28.0
5268,525.95,68.0
NOT_A_NUMBER,689.0,94.0
5849,627.78,59.0
4709,662.26,71.0
7619,426.79,22.0
9647,,90.0
4072,239.93,29.0
7530,415.98,89.0
1504,618.56,
2214,584.63,84.0
2531,353.07,78.0
8576,692.35,
1823,945.96,69.0
1928,364.59,45.0
6029,469.12,70.0
1133,406.76,86.0
3105,485.77,17.0
4627,541.09,79.0
7316,395.4,39.0
2852,458.46,40.0
5910,513.09,28.0
5175,570.74,2.0
6348,719.97,82.0
7190,497.83,27.0
2256,415.72,21.0
4376,604.45,87.0
6645,560.03,7.0
4486,471.08,61.0
4584,,52.0
9053,,48.0
4330,420.44,19.0
NOT_A_NUMBER,215.1,73.0
9662,450.81,12.0
9120,235.62,94.0
8114,404.09,71.0
2353,586.92,2.0
6063,274.22,17.0
NOT_A_NUMBER,471.52,75.0
8575,509.82,76.0
1667,464.21,3.0
5468,427.8,21.0
7819,548.81,78.0
4719,569.61,79.0
NOT_A_NUMBER,500.23,51.0
8483,436.14,10.0
1539,629.71,55.0
5964,303.39,36.0
5835,,51.0
4775,562.95,74.0
7042,529.85,17.0
8102,498.52,89.0
8312,216.5,61.0
6320,708.1,91.0
7132,,
8891,,75.0
3779,613.82,13.0
1924,528.33,65.0
2581,412.55,95.0
8714,678.77,97.0
4324,435.37,85.0
6713,703.42,80.0
8026,580.14,87.0
1255,,74.0
5804,586.86,48.0
2838,579.91,97.0
1009,532.28,86.0
3871,390.98,70.0
9989,509.38,47.0
8409,637.46,100.0
8418,607.89,10.0
6124,575.19,57.0
NOT_A_NUMBER,185.64,80.0
3193,468.02,13.0
9415,452.26,61.0
8449,334.51,58.0
5158,635.56,84.0
NOT_A_NUMBER,196.2,68.0
7970,625.5,84.0
7938,699.39,86.0
5784,468.52,29.0
5000,488.85,16.0
2633,645.13,63.0
8266,385.45,47.0
9702,599.12,43.0
1384,362.33,23.0
1404,,30.0
9175,544.4,57.0
3000,496.0,30.0
6989,241.85,67.0
2460,712.3,56.0
8190,437.79,24.0
8140,576.6,77.0
4636,,96.0
NOT_A_NUMBER,537.14,76.0
5178,690.99,8.0
8245,370.54,88.0
7600,713.15,44.0
6997,376.12,80.0
3048,414.33,96.0
5780,281.8,34.0
1716,540.26,35.0
8939,594.64,96.0
6565,615.02,50.0
5544,285.26,17.0
5976,556.25,2.0
4419,561.8,90.0
8239,592.22,54.0
1249,384.09,44.0
9865,124.2,81.0
1770,605.97,49.0
5363,478.13,2.0
2077,542.04,72.0
9427,485.81,70.0
9580,535.18,9.0
8901,610.57,1.0
NOT_A_NUMBER,221.45,69.0
7544,671.15,9.0
5719,472.68,14.0
3814,744.06,27.0
4374,431.08,9.0
2252,397.76,36.0
7996,477.75,93.0
5673,575.0,84.0
5530,458.85,79.0
7881,585.88,100.0
NOT_A_NUMBER,441.93,3.0
7241,505.23,23.0
9017,835.48,73.0
7941,553.59,30.0
8002,565.62,19.0
2331,279.11,67.0
5261,703.14,50.0
8648,659.97,
6115,392.83,3.0
5637,657.01,98.0
NOT_A_NUMBER,549.47,66.0
4177,506.96,27.0
8730,693.64,87.0
3180,,96.0
5892,391.65,99.0
8043,531.13,40.0
1137,,18.0
7327,644.95,27.0
4472,477.36,
6449,372.53,39.0
NOT_A_NUMBER,879.29,19.0
4579,337.01,89.0
6971,508.27,7.0
5164,616.96,95.0
8941,672.67,57.0
6569,414.93,2.0
5300,218.76,38.0
7269,411.46,5.0
4818,629.2,78.0
2906,595.62,82.0
NOT_A_NUMBER,600.52,36.0
1760,,68.0
8830,701.01,88.0
8350,383.62,77.0
7238,320.32,85.0
7090,,57.0
7031,342.72,97.0
8687,310.86,20.0
9472,683.59,5.0
2887,537.55,24.0
4266,504.27,99.0
1666,507.39,30.0
5188,484.08,
1671,682.59,53.0
7777,272.81,
8570,266.6,7.0
8956,359.54,
6124,543.37,
6585,770.8,94.0
5777,630.36,
4900,588.87,73.0
7677,488.02,76.0
7981,300.12,54.0
7376,577.25,29.0
1523,803.9,10.0
3393,463.99,27.0
3593,415.9,83.0
NOT_A_NUMBER,464.71,13.0
7937,589.96,42.0
7190,516.76,37.0
6240,636.5,61.0
7493,,96.0
3878,463.85,79.0
5143,534.35,21.0
NOT_A_NUMBER,419.05,3.0
5432,761.11,8.0
2276,623.47,70.0
6811,335.05,93.0
1302,388.14,83.0
1638,584.8,17.0
1055,527.5,10.0
9717,545.38,97.0
9150,471.18,13.0
3125,568.28,91.0
1364,474.71,12.0
7809,,66.0
5621,615.95,74.0
6126,741.01,85.0
6122,422.8,23.0
2646,498.33,65.0
1918,317.15,97.0
3797,773.94,52.0
7506,203.68,61.0
6870,752.43,26.0
NOT_A_NUMBER,514.02,15.0
9172,562.76,22.0
4345,475.15,89.0
8673,504.67,65.0
7949,588.21,26.0
7882,254.5,21.0
2906,402.18,24.0
4086,373.24,16.0
9152,,32.0
6750,500.65,16.0
9905,592.71,77.0
2062,524.72,42.0
2976,658.79,32.0
2296,388.96,50.0
