id,value,quantity
8270,454.18,8.0
1860,704.36,85.0
6390,,-73.31427590155698
6191,492.29,44.0
6734,NOT_A_NUMBER,18.0
7265,594.04,47.0
1466,653.01,-30.75727584960979
5426,NOT_A_NUMBER,41.0
6578,754.84,5.0
9322,326.67,64.0
2685,258.39,62.0
1769,,72.0
7949,296.88,87.0
3433,211.03,3.0
6311,547.44,37.0
6051,NOT_A_NUMBER,-35.46931522573733
7420,756.67,
2184,615.26,41.0
5555,787.93,-82.83029401428944
4385,1081.644917397843,67.0
7396,329.56,87.0
9666,,40.0
3558,700.15,NOT_A_NUMBER
8849,558.66,77.0
3047,717.58,8.0
3747,NOT_A_NUMBER,NOT_A_NUMBER
1189,581.88,
3734,1094.2201153687654,NOT_A_NUMBER
4005,NOT_A_NUMBER,37.0
5658,626.19,5.0
2899,1021.6473340317198,8.0
8734,NOT_A_NUMBER,4.0
2267,390.02,41.0
2528,NOT_A_NUMBER,60.0
4556,570.25,54.0
4890,NOT_A_NUMBER,22.0
9838,572.56,78.0
6393,NOT_A_NUMBER,19.0
9792,,-71.95642845016874
9433,665.1,
8513,,-68.2643334727546
3612,1043.2443519470935,33.0
8041,401.65,NOT_A_NUMBER
7235,NOT_A_NUMBER,65.0
6486,,NOT_A_NUMBER
8099,267.25,16.0
1775,331.59,68.0
9226,400.23,
4152,230.48,44.0
2585,495.83,88.0
4943,184.03,
8555,572.8,
4073,440.45,78.0
2021,1100.7525953979582,-49.75658518083542
4843,430.89,62.0
8989,490.94,86.0
7873,1085.3015422803464,15.0
6675,697.56,6.0
1161,,NOT_A_NUMBER
5297,834.75,20.0
1995,NOT_A_NUMBER,36.0
8629,1072.260216383144,NOT_A_NUMBER
2016,NOT_A_NUMBER,70.0
8869,436.43,2.0
7439,NOT_A_NUMBER,
8892,1040.2368550363442,7.0
7863,534.35,NOT_A_NUMBER
8916,,64.0
9529,NOT_A_NUMBER,41.0
1878,342.32,54.0
5887,878.71,41.0
5859,,-8.55073724025414
7331,489.84,NOT_A_NUMBER
9571,683.39,-56.1493203974189
9684,,
8208,428.97,1.0
6276,321.18,25.0
3062,519.47,81.0
1064,,46.0
9006,,15.0
3568,505.22,69.0
6463,1026.7297173047991,
3027,328.5,21.0
3695,451.48,53.0
6258,NOT_A_NUMBER,55.0
6618,NOT_A_NUMBER,87.0
7736,298.6,10.0
1391,NOT_A_NUMBER,
6892,709.99,57.0
4561,538.9,
7184,250.38,37.0
4099,1096.0783903801894,
7278,1086.3364491571422,76.0
9392,453.95,40.0
4104,NOT_A_NUMBER,50.0
8215,682.06,1.0
3454,149.31,NOT_A_NUMBER
9996,1046.4300605870117,31.0
3731,NOT_A_NUMBER,68.0
9154,416.45,90.0
6056,1053.9977807397775,NOT_A_NUMBER
9110,42.2,22.0
4840,1032.190384005451,1.0
2028,,1.0
8385,419.17,-21.445256041361002
1502,NOT_A_NUMBER,NOT_A_NUMBER
7910,,21.0
7938,445.11,13.0
5488,431.2,61.0
1206,559.17,13.0
6134,275.67,-34.15560640376795
6977,673.99,
8721,465.46,6.0
8035,349.15,25.0
2484,NOT_A_NUMBER,23.0
8858,1078.14457743132,88.0
1863,454.05,26.0
3790,267.67,NOT_A_NUMBER
8408,409.72,35.0
9755,378.62,75.0
6116,NOT_A_NUMBER,100.0
7019,519.57,25.0
2757,735.4,20.0
8574,393.5,-60.615775985767755
7374,456.33,94.0
7892,557.98,-54.96399215945847
2678,NOT_A_NUMBER,23.0
4242,,NOT_A_NUMBER
5636,NOT_A_NUMBER,NOT_A_NUMBER
2059,1017.0018768346773,-52.61120772629663
7668,446.69,62.0
4157,722.14,1.0
6915,349.9,
3693,NOT_A_NUMBER,68.0
4627,609.48,NOT_A_NUMBER
6450,601.45,NOT_A_NUMBER
2663,NOT_A_NUMBER,1.0
6592,512.13,48.0
8392,NOT_A_NUMBER,19.0
2306,,NOT_A_NUMBER
7776,668.97,
6864,616.05,22.0
8526,299.75,50.0
9901,630.42,
6575,696.32,6.0
6530,NOT_A_NUMBER,64.0
5413,,21.0
4748,,97.0
1663,NOT_A_NUMBER,19.0
2998,NOT_A_NUMBER,91.0
8994,683.46,37.0
2495,,63.0
4304,,29.0
4763,574.22,60.0
6232,265.96,-16.16548597429586
2853,812.31,34.0
7585,NOT_A_NUMBER,NOT_A_NUMBER
2291,719.6,48.0
4581,504.61,89.0
8554,NOT_A_NUMBER,21.0
8280,398.85,34.0
2636,1027.9315384114445,-94.33791327030323
4696,1056.160995856664,36.0
1698,471.9,99.0
5737,1055.1517662709612,23.0
1854,401.1,-16.861133371986362
9164,656.59,47.0
6855,497.34,76.0
8392,273.78,44.0
7528,399.5,
6249,NOT_A_NUMBER,27.0
6172,NOT_A_NUMBER,61.0
2707,634.11,37.0
6791,518.25,84.0
6535,NOT_A_NUMBER,52.0
5931,876.89,75.0
4510,1049.4940126106676,92.0
1202,NOT_A_NUMBER,62.0
5218,496.49,66.0
9958,862.36,24.0
5389,NOT_A_NUMBER,80.0
3327,541.14,
9004,1088.1711600959247,16.0
3931,553.79,36.0
8777,458.93,2.0
1197,604.3,89.0
8125,,
2930,NOT_A_NUMBER,64.0
7287,331.18,29.0
9800,,92.0
5282,1055.0608764231229,74.0
3511,376.0,NOT_A_NUMBER
1659,550.09,96.0
3811,319.14,31.0
8098,NOT_A_NUMBER,83.0
7546,1030.0320483105306,15.0
2986,603.73,55.0
9338,NOT_A_NUMBER,-76.5838061565345
3911,151.73,-10.156006380744275
2734,417.07,52.0
2843,591.02,-4.887186658666049
9680,NOT_A_NUMBER,NOT_A_NUMBER
3976,NOT_A_NUMBER,73.0
2959,615.0,NOT_A_NUMBER
6759,NOT_A_NUMBER,-61.383901644474285
7694,248.11,54.0
3385,NOT_A_NUMBER,-43.39134580599757
5736,550.17,18.0
2802,NOT_A_NUMBER,87.0
9155,NOT_A_NUMBER,-73.08862623373051
9120,NOT_A_NUMBER,-5.7899072052954805
7616,782.08,35.0
6534,314.38,84.0
5061,,84.0
1262,380.72,83.0
7287,590.03,80.0
9815,517.99,85.0
3049,NOT_A_NUMBER,NOT_A_NUMBER
6423,476.43,
5548,510.96,24.0
4108,410.1,-29.265607882248254
8158,609.08,95.0
8400,345.34,39.0
4170,813.65,12.0
3255,643.05,NOT_A_NUMBER
2154,NOT_A_NUMBER,53.0
5499,NOT_A_NUMBER,-78.00733797566217
7295,453.61,-25.417249204936738
7197,591.71,94.0
2648,1075.4633082443918,-98.29878293001065
6539,619.62,16.0
5199,724.42,
9445,582.34,4.0
3557,656.27,72.0
6592,417.44,
1098,469.08,8.0
3200,745.74,NOT_A_NUMBER
3961,589.53,46.0
5973,1097.029954945298,44.0
5433,387.01,-75.57455579081248
3869,NOT_A_NUMBER,91.0
1956,382.78,52.0
9352,338.58,-6.875483595430301
6699,517.24,-38.245725996844186
7944,139.63,21.0
5493,591.66,NOT_A_NUMBER
5911,556.54,44.0
4987,447.08,41.0
7015,NOT_A_NUMBER,-50.06425381835852
2218,482.1,NOT_A_NUMBER
5496,1056.1504435279007,NOT_A_NUMBER
5735,NOT_A_NUMBER,14.0
5555,NOT_A_NUMBER,NOT_A_NUMBER
9050,,78.0
4446,1067.6804164603607,52.0
2045,447.12,-30.585659467732402
7893,541.77,77.0
2693,617.16,1.0
4436,421.28,12.0
9754,559.32,24.0
6895,577.91,37.0
4354,307.42,NOT_A_NUMBER
1225,1072.7924692031054,-73.51094055500864
5893,808.47,76.0
8022,NOT_A_NUMBER,
6600,474.32,3.0
8996,468.05,
8683,593.09,53.0
5642,576.62,100.0
8679,261.4,17.0
9208,NOT_A_NUMBER,-5.107027423158322
8339,576.1,39.0
3205,NOT_A_NUMBER,
2069,325.08,17.0
4444,725.04,
2060,NOT_A_NUMBER,
3327,505.37,32.0
4420,474.27,-71.26947538501749
1301,NOT_A_NUMBER,44.0
1606,527.74,43.0
4170,558.82,91.0
1699,1046.766183450165,NOT_A_NUMBER
6088,449.57,93.0
1190,590.07,73.0
1980,203.73,43.0
3975,1086.3132573250284,NOT_A_NUMBER
7102,NOT_A_NUMBER,29.0
2184,420.99,NOT_A_NUMBER
4327,418.85,35.0
4394,1021.9748482702937,-17.98574938779806
9319,NOT_A_NUMBER,NOT_A_NUMBER
2816,796.88,87.0
6854,236.82,39.0
7709,168.2,
1569,,
6442,352.41,20.0
2895,354.94,15.0
3733,647.71,
4863,NOT_A_NUMBER,NOT_A_NUMBER
8455,636.55,NOT_A_NUMBER
5014,,60.0
2686,1090.7048608707448,NOT_A_NUMBER
4009,423.29,
8806,362.03,41.0
1154,NOT_A_NUMBER,100.0
2409,NOT_A_NUMBER,-76.00577802340626
1784,,90.0
9096,473.24,-87.0225714176056
8560,1055.7577502992535,-75.78188852707329
8343,351.77,56.0
8206,359.88,18.0
6596,570.51,-34.25079085241289
6801,840.57,16.0
3806,,27.0
1537,657.47,-57.20140937457067
6986,,17.0
2841,554.16,-83.71422153663646
9716,446.06,-42.62835478679485
7971,779.99,
6625,1014.9596939521002,27.0
3950,841.91,-19.259393752240427
8992,395.68,32.0
5780,505.32,NOT_A_NUMBER
3368,556.28,11.0
7655,401.53,1.0
9173,519.66,
5495,1079.6803090276262,82.0
7002,NOT_A_NUMBER,49.0
7614,394.5,NOT_A_NUMBER
6919,384.55,20.0
1853,NOT_A_NUMBER,NOT_A_NUMBER
5146,NOT_A_NUMBER,NOT_A_NUMBER
4769,394.15,16.0
1574,1040.84348527647,
2148,579.36,45.0
7293,498.41,64.0
7457,421.17,47.0
8509,1023.3332935337253,
5777,NOT_A_NUMBER,NOT_A_NUMBER
4854,173.46,49.0
3491,1076.6381978744619,81.0
4124,1051.1532328769954,
6691,392.16,
4051,NOT_A_NUMBER,78.0
1004,508.94,-5.801758579811799
6222,458.86,39.0
6315,648.21,89.0
5869,1100.431645649601,60.0
1876,NOT_A_NUMBER,11.0
8027,,49.0
5142,,15.0
7966,565.86,83.0
8079,482.55,
8987,424.94,-34.815035767154455
7799,305.45,15.0
5465,1098.36281881376,-41.09366391989849
1635,349.29,-94.67060607456891
2693,NOT_A_NUMBER,-74.84177479142579
5752,565.4,NOT_A_NUMBER
9311,1016.5365294701064,NOT_A_NUMBER
1830,609.47,88.0
6177,306.82,29.0
9932,NOT_A_NUMBER,
9308,232.05,60.0
6949,551.9,69.0
3838,538.93,22.0
2150,1066.1433105721483,13.0
8560,,NOT_A_NUMBER
2931,NOT_A_NUMBER,47.0
2664,1011.4081757474818,NOT_A_NUMBER
2081,677.41,80.0
1512,1066.1062517419318,
8805,,17.0
6237,1037.7783162345952,20.0
1559,,NOT_A_NUMBER
4672,1019.7655252777944,6.0
8404,NOT_A_NUMBER,22.0
4343,NOT_A_NUMBER,-89.57726973631115
5070,1080.764061173364,-98.2981191181186
1580,1044.0509557807643,88.0
8004,243.65,-78.00689960780993
9130,,
4147,393.22,NOT_A_NUMBER
5249,480.48,NOT_A_NUMBER
2679,,49.0
4506,607.48,30.0
8253,NOT_A_NUMBER,16.0
3744,,65.0
6188,1088.8640732602432,
3141,456.08,86.0
7617,NOT_A_NUMBER,90.0
3479,NOT_A_NUMBER,
7484,721.84,NOT_A_NUMBER
8421,515.41,37.0
5452,,-73.40961874581483
6881,1066.0761498452011,78.0
7665,659.73,
3849,,50.0
8390,505.09,
7905,1051.9091013928658,
3489,1030.1059102158952,23.0
5611,1006.4080726930688,66.0
3839,1088.5817959534816,71.0
9527,NOT_A_NUMBER,45.0
6878,569.27,86.0
7303,617.58,28.0
1851,376.51,NOT_A_NUMBER
2687,422.73,49.0
7833,478.82,57.0
3427,1008.1962211724342,82.0
5000,464.89,88.0
6052,232.84,
3738,470.27,59.0
6732,609.99,-65.47120861534358
6387,,NOT_A_NUMBER
9002,542.09,13.0
6536,277.1,74.0
4913,439.04,62.0
2066,571.26,
8723,629.93,73.0
5380,576.06,11.0
5107,462.26,NOT_A_NUMBER
6726,628.78,12.0
4373,,35.0
9945,527.7,NOT_A_NUMBER
3082,NOT_A_NUMBER,
9967,586.5,-42.28649929678375
7748,589.86,NOT_A_NUMBER
1417,,27.0
9306,342.7,60.0
9808,502.63,-88.49069677786501
4974,363.61,65.0
4267,1027.8266259761142,55.0
1825,324.67,NOT_A_NUMBER
8668,551.75,88.0
6745,205.23,NOT_A_NUMBER
1412,NOT_A_NUMBER,35.0
8543,502.3,95.0
8587,1082.1399113611199,32.0
1728,469.31,19.0
8164,NOT_A_NUMBER,95.0
9867,,39.0
6988,1023.1918234221647,-45.786523700544166
3504,541.22,28.0
3967,649.16,3.0
3786,459.87,32.0
2122,679.29,86.0
5079,248.13,58.0
2571,740.52,
6073,231.78,NOT_A_NUMBER
6104,1023.3643996294259,NOT_A_NUMBER
3143,NOT_A_NUMBER,83.0
7806,NOT_A_NUMBER,62.0
8357,1055.0894598016619,31.0
4440,358.27,NOT_A_NUMBER
4766,779.77,26.0
6644,336.67,69.0
3914,465.9,57.0
5968,890.71,20.0
6917,559.33,66.0
9787,NOT_A_NUMBER,21.0
1728,459.01,60.0
2365,,63.0
5492,528.28,
1698,NOT_A_NUMBER,-63.54869564239552
8186,NOT_A_NUMBER,NOT_A_NUMBER
1395,,NOT_A_NUMBER
8400,NOT_A_NUMBER,
9082,546.78,100.0
5171,,11.0
5360,664.39,57.0
3502,NOT_A_NUMBER,NOT_A_NUMBER
1717,NOT_A_NUMBER,
3782,484.26,-1.0744458941151165
5946,,96.0
6486,NOT_A_NUMBER,25.0
9335,303.21,21.0
5980,433.46,
8266,504.54,42.0
5491,285.9,1.0
8192,593.53,NOT_A_NUMBER
6588,NOT_A_NUMBER,24.0
8651,1077.718376099917,47.0
4636,NOT_A_NUMBER,89.0
2167,327.4,7.0
2062,499.99,38.0
3156,1023.6223819138008,47.0
8860,321.45,35.0
6161,333.38,NOT_A_NUMBER
6305,463.09,62.0
7541,1035.2523495109408,73.0
5729,NOT_A_NUMBER,-55.57416753683909
8330,456.25,20.0
6334,1019.5907949620337,97.0
9924,,44.0
5330,580.76,NOT_A_NUMBER
9010,508.42,100.0
7801,NOT_A_NUMBER,26.0
5846,391.7,NOT_A_NUMBER
7731,626.26,5.0
8241,NOT_A_NUMBER,59.0
1953,1078.3201152682361,NOT_A_NUMBER
3539,814.7,49.0
8056,,30.0
2542,481.33,NOT_A_NUMBER
6293,,70.0
2191,608.5,NOT_A_NUMBER
7313,NOT_A_NUMBER,63.0
7938,1079.087399142487,NOT_A_NUMBER
3681,426.64,63.0
2540,746.81,
7172,NOT_A_NUMBER,1.0
6541,854.71,13.0
2365,529.26,48.0
9691,,34.0
9702,418.98,-39.23987027486699
8494,303.3,-55.488273081285804
5312,,64.0
2324,NOT_A_NUMBER,66.0
4141,1028.5315948202149,
8419,NOT_A_NUMBER,44.0
4486,697.73,12.0
2810,,40.0
7588,1079.246223473645,24.0
3923,,11.0
6301,686.96,-82.12028812973536
5186,1013.0717661315954,
9905,714.14,58.0
6977,581.41,28.0
5268,1008.8735994558141,-42.28169094554363
5748,689.0,94.0
5849,627.78,59.0
4709,662.26,71.0
7619,426.79,22.0
9647,NOT_A_NUMBER,90.0
4072,NOT_A_NUMBER,29.0
7530,1026.810087848182,89.0
1504,618.56,74.0
2214,584.63,
2531,353.07,78.0
8576,1030.3765629754469,NOT_A_NUMBER
1823,NOT_A_NUMBER,69.0
1928,NOT_A_NUMBER,-71.98433816235517
6029,,70.0
1133,,
3105,485.77,NOT_A_NUMBER
4627,541.09,79.0
7316,NOT_A_NUMBER,39.0
2852,458.46,40.0
5910,,28.0
5175,570.74,-90.88662509159059
6348,719.97,82.0
7190,,-10.551337814416014
2256,415.72,21.0
4376,604.45,87.0
6645,560.03,7.0
4486,471.08,61.0
4584,,52.0
9053,442.53,48.0
4330,1053.5595093066777,19.0
3703,215.1,73.0
9662,NOT_A_NUMBER,-0.3001310887027561
9120,235.62,-52.736596371531284
8114,404.09,71.0
2353,586.92,2.0
6063,1008.9364537092829,17.0
9549,NOT_A_NUMBER,75.0
8575,1080.238340410972,NOT_A_NUMBER
1667,464.21,3.0
5468,427.8,21.0
7819,548.81,78.0
4719,569.61,-21.60619999944507
3745,,
8483,NOT_A_NUMBER,NOT_A_NUMBER
1539,1079.657110862367,55.0
5964,NOT_A_NUMBER,NOT_A_NUMBER
5835,603.11,NOT_A_NUMBER
4775,,74.0
7042,NOT_A_NUMBER,17.0
8102,498.52,-33.88440942997547
8312,216.5,61.0
6320,NOT_A_NUMBER,NOT_A_NUMBER
7132,625.8,97.0
8891,,75.0
3779,613.82,13.0
1924,NOT_A_NUMBER,65.0
2581,412.55,95.0
8714,678.77,-38.85719720431531
4324,435.37,-21.50635067367158
6713,1098.6636706257239,80.0
8026,NOT_A_NUMBER,87.0
